time_s,fixed_total_bps,greedy_total_bps,opt_total_bps,fixed_min_bps,greedy_min_bps,opt_min_bps,fixed_jain,greedy_jain,opt_jain
74.000000,1828593077.294131,1902730382.877272,1895476951.488156,53450750.602616,77437934.386749,77017822.606592,0.941070,0.987489,0.990000
75.000000,1836788833.420617,1911106952.291491,1903392670.887584,54103787.813651,78447490.941113,77448430.871441,0.942741,0.988621,0.990387
76.000000,1844720597.527197,1918987790.392073,1910892138.488137,54654316.545916,79187820.277854,77721149.761868,0.944132,0.989650,0.990673
77.000000,1854006794.157470,1928035035.242964,1920120991.340221,55345337.834539,80093513.699100,78199507.826175,0.945749,0.990551,0.990934
78.000000,1864250634.740082,1937776256.813511,1930120431.679157,56123553.092655,81091985.936772,78754417.297192,0.947591,0.991401,0.991205
79.000000,1873733319.924282,1946899658.062644,1939647187.303728,56849736.843417,82002682.160618,79235146.578355,0.949200,0.992136,0.991396
80.000000,1881807996.168978,1954190028.615667,1947415723.314713,57386778.979026,82659808.673755,79474099.177761,0.950441,0.992755,0.991484
81.000000,1890682691.406161,1961777439.475459,1955728301.929894,58066482.119738,83482743.180863,79908315.718458,0.951933,0.993364,0.991650
82.000000,1898851544.686017,1971265209.970467,1963984375.492267,58725312.290684,82966601.913499,80305145.304550,0.953297,0.992794,0.991742
83.000000,1907318453.754717,1979099408.378723,1972055333.088773,59424843.047547,82448741.831146,80745889.539272,0.954641,0.992141,0.991829
84.000000,1915266742.656017,1986282567.224344,1979734792.664283,60163470.295803,82643420.822041,81231255.364397,0.956082,0.992136,0.991950
85.000000,1923975131.887231,1994362352.252804,1988002593.046227,61109372.530835,83750210.719224,81422653.162480,0.957935,0.992852,0.992187
86.000000,1932444435.636966,2002262614.508887,1996268079.768447,61681504.648980,84755472.404897,81337721.571375,0.959541,0.993404,0.992321
87.000000,1940310824.397289,2008902085.923891,2003628352.481211,61771827.999202,84981760.989745,81178675.498073,0.961092,0.993866,0.992428
88.000000,1947623802.459408,2015010923.304686,2010280472.726408,61918385.801659,85148649.656236,81068617.149725,0.962688,0.994290,0.992534
89.000000,1956629547.927137,2022374029.882830,2018134622.592400,62195337.516867,85459708.093427,81078197.417120,0.964606,0.994714,0.992723
90.000000,1965682585.297091,2029270290.814219,2025774541.339056,62413096.539245,85700129.035612,81039343.188477,0.966354,0.995030,0.992874
91.000000,1976313221.660185,2037316534.547808,2034778983.258117,63180797.556469,86537817.961192,81629210.437344,0.968352,0.995380,0.993159
92.000000,1985314628.645985,2044068613.695001,2042508476.558279,64106783.199675,87526032.905289,82395967.773597,0.969884,0.995629,0.993356
93.000000,1993301510.436688,2050101206.167759,2049460084.268206,65028782.970926,88485298.443063,83147588.679129,0.971435,0.995819,0.993542
94.000000,2002079384.171669,2057044558.186014,2057434616.830971,66005607.931797,89475757.205478,83946800.451407,0.972970,0.995965,0.993729
95.000000,2011880359.972481,2066750364.073576,2066503855.968544,67094512.002014,89833782.345495,84850419.938820,0.974525,0.995946,0.993941
96.000000,2019926386.834623,2075012061.058691,2073836846.659067,68113259.267522,88377952.301529,85662223.600625,0.975983,0.995247,0.994085
97.000000,2027779392.974506,2081217477.050273,2080742817.582834,69184103.641066,86921748.232428,86507054.265773,0.977403,0.994305,0.994210
98.000000,2035219582.980849,2086023089.853073,2087577754.669592,70177910.667085,85573205.689790,87251024.390554,0.978732,0.993279,0.994298
99.000000,2041398788.124399,2091200699.034938,2092557720.253493,71222071.151068,86604563.738275,88020345.420295,0.980053,0.993635,0.994389
100.000000,2047203715.403192,2096342625.019295,2097475488.967499,72308984.860752,87665763.564342,88808656.231505,0.981414,0.993953,0.994469
101.000000,2052723734.805378,2101262787.453116,2102126040.264481,73366776.579630,88697100.469668,89558235.613940,0.982694,0.994224,0.994547
102.000000,2057883486.402554,2105624411.508723,2106156258.765966,74479544.457006,89754366.770758,90338829.040758,0.983957,0.994442,0.994623
103.000000,2063010592.498062,2109911232.046389,2110091742.275177,75563251.589579,90774662.200033,91086372.398298,0.985123,0.994614,0.994706
104.000000,2068128459.743586,2114099085.149889,2113932252.774563,76506285.580102,91522651.077239,91678800.804057,0.986122,0.994728,0.994777
105.000000,2072608404.719861,2117586158.065047,2117092318.201394,77484751.419003,90594877.402895,91187291.660480,0.987096,0.994791,0.994843
106.000000,2076085052.852845,2120107213.040340,2119297917.606635,78329212.538858,89704568.043436,90726288.172202,0.987906,0.994797,0.994893
107.000000,2080276003.391018,2123147666.755876,2122060884.075283,79339611.563578,88908999.086253,90355781.078419,0.988788,0.994803,0.994977
108.000000,2085345135.266732,2126642985.207556,2125448589.734844,80366267.681526,88173980.005874,90032283.846556,0.989628,0.994800,0.995075
109.000000,2088813430.433050,2129372294.350880,2128089496.467940,81021834.320278,87615983.570233,89861688.186369,0.990187,0.994759,0.995138
110.000000,2091913209.193777,2131883527.899398,2130477395.738084,81659966.006022,87087235.719241,89701916.293771,0.990717,0.994704,0.995206
111.000000,2094020932.229781,2133046278.940806,2131829302.757391,82439108.402981,86190113.251426,89200883.674182,0.991326,0.994520,0.995223
112.000000,2097730595.074550,2135464619.525619,2134385426.711557,83331670.930025,85557936.089889,88919211.404272,0.991948,0.994416,0.995293
113.000000,2100321418.360308,2136689869.179905,2136056493.379415,84084729.616283,84791189.708219,88501400.830991,0.992451,0.994229,0.995310
114.000000,2102146329.040522,2138558689.735740,2136849883.922585,84874633.975888,85198629.467996,87864799.370935,0.992883,0.994492,0.995253
115.000000,2103760830.924183,2139265858.292796,2137498489.444335,85757436.597723,85511397.263407,87219877.895171,0.993311,0.994712,0.995181
