time_s,total_rate_bps,jain,min_rate_bps,mean_rate_bps,handovers
209.000000,1874053044.739459,0.896398,50648864.253348,93702652.236973,0.000000
210.000000,1872828578.864163,0.896576,50680755.277333,93641428.943208,0.000000
211.000000,1871592953.935181,0.896809,50790135.195347,93579647.696759,0.000000
212.000000,1870329523.325734,0.897108,50822191.044408,93516476.166287,0.000000
213.000000,1869054874.639850,0.897436,50874055.266823,93452743.731992,0.000000
214.000000,1868357262.298019,0.897691,50875039.933336,93417863.114901,0.000000
215.000000,1867927253.834950,0.897878,50837076.345624,93396362.691748,0.000000
216.000000,1867791058.180887,0.898056,50801905.494926,93389552.909044,0.000000
217.000000,1867927977.714539,0.898159,50714150.625654,93396398.885727,0.000000
218.000000,1867808506.320567,0.898338,50643070.283696,93390425.316028,0.000000
219.000000,1868307087.980198,0.898399,50528077.126041,93415354.399010,0.000000
220.000000,1868664865.788936,0.898456,50424014.073363,93433243.289447,0.000000
221.000000,1868899725.409162,0.898499,50380549.885214,93444986.270458,0.000000
222.000000,1868390221.064328,0.898554,50390598.442627,93419511.053216,0.000000
223.000000,1867922607.278308,0.898639,50405534.931519,93396130.363915,0.000000
224.000000,1868237129.252010,0.898882,50439066.095221,93411856.462601,0.000000
225.000000,1868481701.942416,0.899196,50509064.882350,93424085.097121,0.000000
226.000000,1868710365.631851,0.899388,50593607.595339,93435518.281593,0.000000
227.000000,1868966553.687130,0.899420,50641028.295021,93448327.684356,0.000000
228.000000,1869454393.655987,0.899551,50657477.296078,93472719.682799,0.000000
229.000000,1869445834.733328,0.899757,50650824.259130,93472291.736666,0.000000
230.000000,1869526723.104827,0.899910,50640064.431962,93476336.155241,0.000000
231.000000,1869515715.153851,0.900081,50655489.294134,93475785.757693,0.000000
232.000000,1869683059.825500,0.900199,50676716.756116,93484152.991275,0.000000
233.000000,1868993714.635938,0.900316,50692894.365219,93449685.731797,0.000000
234.000000,1868339342.233827,0.900405,50687551.398404,93416967.111691,0.000000
235.000000,1867890728.065268,0.900408,50671731.191584,93394536.403263,0.000000
236.000000,1867506556.753334,0.900443,50662866.201535,93375327.837667,0.000000
237.000000,1866991539.260941,0.900441,50602886.558287,93349576.963047,0.000000
238.000000,1866739235.199427,0.900434,50549884.500478,93336961.759971,0.000000
239.000000,1866164406.862324,0.900507,50589733.797791,93308220.343116,0.000000
240.000000,1865924411.794186,0.900648,50606169.562737,93296220.589709,0.000000
241.000000,1865402443.668016,0.900690,50614763.891448,93270122.183401,0.000000
242.000000,1865028204.638446,0.900734,50602719.356869,93251410.231922,0.000000
243.000000,1864613321.120301,0.900944,50618188.486204,93230666.056015,0.000000
244.000000,1864400179.406947,0.901081,50603590.108383,93220008.970347,0.000000
245.000000,1864207225.796844,0.901132,50629408.620637,93210361.289842,0.000000
246.000000,1864551847.922453,0.901115,50650403.586772,93227592.396123,0.000000
247.000000,1864613035.142316,0.900966,50720752.011056,93230651.757116,0.000000
248.000000,1864571669.980173,0.900937,50762625.867904,93228583.499009,0.000000
249.000000,1864509073.244786,0.900946,50759332.990494,93225453.662239,0.000000
250.000000,1864197921.457772,0.900895,50749828.047986,93209896.072889,0.000000
251.000000,1863266284.850090,0.900868,50760102.156704,93163314.242505,0.000000
252.000000,1863119763.157665,0.900907,50785183.803002,93155988.157883,0.000000
253.000000,1863652742.482765,0.900974,50834587.920148,93182637.124138,0.000000
254.000000,1864179249.335675,0.901115,50891061.002950,93208962.466784,0.000000
255.000000,1864292291.562287,0.901169,50961935.975514,93214614.578114,0.000000
256.000000,1863894681.127322,0.901025,50969463.752673,93194734.056366,0.000000
257.000000,1863530122.620849,0.900837,50921490.631562,93176506.131042,0.000000
258.000000,1863056199.247486,0.900764,50913465.791946,93152809.962374,0.000000
259.000000,1862876091.455435,0.900826,50886278.108341,93143804.572772,0.000000
260.000000,1863311572.909550,0.900924,50828903.949714,93165578.645477,0.000000
261.000000,1863393019.150778,0.901001,50756512.073299,93169650.957539,0.000000
262.000000,1863102196.807569,0.900914,50744404.972277,93155109.840378,0.000000
263.000000,1862866530.121074,0.900901,50725842.368345,93143326.506054,0.000000
264.000000,1863095256.507907,0.900906,50716147.049734,93154762.825395,0.000000
265.000000,1863453055.234042,0.900965,50711358.019633,93172652.761702,0.000000
266.000000,1863511625.260369,0.900940,50717970.058210,93175581.263018,0.000000
267.000000,1863356151.986773,0.900862,50729697.576944,93167807.599339,0.000000
268.000000,1863359647.257546,0.900847,50674151.162859,93167982.362877,0.000000
269.000000,1864256871.635546,0.901074,50692875.488591,93212843.581777,1.000000
270.000000,1865358849.172226,0.901246,50740309.625431,93267942.458611,0.000000
271.000000,1866489736.803530,0.901322,50812200.027050,93324486.840176,0.000000
272.000000,1867648191.755009,0.901329,50883924.265535,93382409.587750,0.000000
273.000000,1868734873.807913,0.901333,50917618.436166,93436743.690396,0.000000
274.000000,1869621147.895625,0.901332,50923383.030302,93481057.394781,0.000000
275.000000,1870384657.720969,0.901287,50954670.530784,93519232.886048,0.000000
276.000000,1870733075.046297,0.901344,50990749.571151,93536653.752315,0.000000
277.000000,1870398791.010592,0.901263,51016193.858833,93519939.550530,0.000000
278.000000,1870066658.339892,0.901246,51039383.159500,93503332.916995,0.000000
279.000000,1870432804.726024,0.901258,51022791.143217,93521640.236301,0.000000
280.000000,1870364108.136975,0.901433,51072087.563399,93518205.406849,0.000000
281.000000,1869504574.384090,0.901502,51120201.301315,93475228.719205,0.000000
282.000000,1869312347.202960,0.901687,51126528.338576,93465617.360148,0.000000
283.000000,1868788294.938550,0.901952,51157807.471556,93439414.746927,0.000000
284.000000,1868778169.524374,0.902334,51227957.292039,93438908.476219,0.000000
285.000000,1868833220.927969,0.902752,51272602.742152,93441661.046398,0.000000
286.000000,1869427265.572691,0.903088,51362669.717708,93471363.278635,0.000000
287.000000,1869713282.499943,0.903323,51443454.790695,93485664.124997,0.000000
288.000000,1870450916.674928,0.903544,51507598.377418,93522545.833746,0.000000
289.000000,1870827011.300758,0.903650,51540997.532227,93541350.565038,0.000000
290.000000,1870933220.498911,0.903631,51612091.885219,93546661.024946,0.000000
291.000000,1870704755.482404,0.903564,51668462.315356,93535237.774120,0.000000
292.000000,1870905173.454404,0.903724,51763887.979320,93545258.672720,0.000000
293.000000,1871226601.992472,0.903895,51870783.018218,93561330.099624,0.000000
294.000000,1871638250.358011,0.904011,51896134.774873,93581912.517901,0.000000
295.000000,1872103885.671811,0.904088,51900320.752173,93605194.283591,0.000000
296.000000,1872446417.620398,0.904147,51901019.836319,93622320.881020,0.000000
297.000000,1872819492.937568,0.904106,51857128.515480,93640974.646878,0.000000
298.000000,1873197733.199968,0.903926,51848983.887108,93659886.659998,0.000000
299.000000,1874518385.619080,0.903676,51868804.017941,93725919.280954,0.000000
300.000000,1875433423.326778,0.903535,51918449.549664,93771671.166339,0.000000
